iter	Passed	Remaining
255	7010	20375
256	7037	20346
257	7060	20304
258	7088	20280
259	7112	20243
260	7140	20216
261	7163	20177
262	7188	20145
263	7211	20103
264	7235	20069
265	7260	20034
266	7286	20003
267	7309	19964
268	7333	19929
269	7358	19895
270	7383	19861
271	7407	19825
272	7442	19819
273	7468	19788
274	7497	19766
275	7525	19741
276	7555	19721
277	7586	19702
278	7609	19664
279	7635	19634
280	7659	19597
281	7683	19563
282	7709	19532
283	7736	19504
284	7765	19481
285	7790	19449
286	7815	19417
287	7841	19386
288	7866	19353
289	7893	19326
290	7916	19289
291	7940	19253
292	7964	19219
293	7989	19186
294	8016	19158
295	8038	19119
296	8062	19084
297	8084	19045
298	8109	19012
299	8135	18982
300	8162	18954
301	8186	18921
302	8213	18894
303	8239	18863
304	8268	18840
305	8298	18821
306	8321	18784
307	8348	18756
308	8370	18718
309	8395	18685
310	8418	18650
311	8444	18620
312	8469	18588
313	8492	18553
314	8517	18521
315	8550	18507
316	8579	18485
317	8602	18448
318	8631	18427
319	8662	18407
320	8689	18380
321	8715	18350
322	8738	18316
323	8761	18279
324	8782	18240
325	8809	18212
326	8832	18178
327	8856	18144
328	8878	18107
329	8904	18077
330	8928	18046
331	8951	18011
332	8979	17985
333	9000	17947
334	9027	17921
335	9049	17883
336	9079	17861
337	9101	17825
338	9125	17793
339	9152	17767
340	9187	17755
341	9216	17732
342	9248	17715
343	9289	17714
344	9341	17735
345	9391	17752
346	9428	17742
347	9459	17723
348	9487	17697
349	9515	17672
350	9538	17636
351	9562	17603
352	9586	17571
353	9610	17537
354	9638	17512
355	9662	17479
356	9690	17452
357	9714	17421
358	9744	17398
359	9772	17373
360	9795	17339
361	9823	17313
362	9853	17290
363	9876	17255
364	9911	17243
365	9941	17220
366	9971	17199
367	9994	17164
368	10025	17144
369	10052	17117
370	10078	17087
371	10108	17064
372	10136	17039
373	10161	17008
374	10188	16980
375	10210	16945
376	10233	16911
377	10257	16878
378	10284	16851
379	10309	16821
380	10333	16788
381	10359	16759
382	10383	16727
383	10412	16703
384	10441	16679
385	10471	16656
386	10494	16622
387	10523	16599
388	10550	16572
389	10578	16545
390	10603	16515
391	10627	16483
392	10653	16454
393	10676	16421
394	10702	16392
395	10731	16368
396	10756	16337
397	10783	16310
398	10807	16279
399	10834	16251
400	10859	16221
401	10888	16197
